"BehaviorSpace results (NetLogo 6.2.1)"
"YEAR_MODELS_8x12_death_Space_Time_EVENHabitat_Nov19Final.nlogo"
"YEAR5_MODELS"
"11/30/2021 16:45:23:087 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","7","0","11"
"[run number]","Predator-Strategy","Prey-Starting-Condition","Predator-Starting-Condition","Detection-prob-black","Detection-prob-white","[step]","ticks","[nearby] of preys","mapAware-table [1] of one-of patches","hour-map-prey [1]","[p-black] of one-of preys","[p-white] of one-of preys","[domain-overlap] of one-of preys","[domain-prey] of one-of preys"
"33","Sit-and-Wait","Small","Small","0.55","0.55","20546","20546","[182]","[[0 11] [1 10] [2 10] [3 11] [4 9] [5 11] [6 9] [7 5] [8 6] [9 8] [10 7] [11 9] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 381] [1 153] [2 86] [3 175] [4 302] [5 112] [6 186] [7 326] [8 314] [9 44] [10 55] [11 39] [12 671] [13 673] [14 670] [15 695] [16 668] [17 682] [18 671] [19 661] [20 668] [21 688] [22 681] [23 671]]","4893","5379","10272","0"
"27","Sit-and-Wait","Small","Small","0.55","0.55","42097","42097","[427]","[[0 16] [1 18] [2 21] [3 16] [4 16] [5 21] [6 22] [7 23] [8 24] [9 20] [10 19] [11 25] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 458] [1 234] [2 223] [3 136] [4 510] [5 24] [6 246] [7 34] [8 84] [9 55] [10 113] [11 132] [12 1566] [13 1580] [14 1568] [15 1584] [16 1571] [17 1579] [18 1551] [19 1543] [20 1561] [21 1561] [22 1569] [23 1566]]","11214","9834","21048","0"
"35","Sit-and-Wait","Small","Small","0.55","0.55","8651","8651","[72]","[[0 5] [1 5] [2 3] [3 7] [4 4] [5 2] [6 0] [7 1] [8 3] [9 4] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 173] [1 109] [2 40] [3 43] [4 150] [5 211] [6 203] [7 205] [8 58] [9 212] [10 198] [11 212] [12 202] [13 231] [14 186] [15 212] [16 198] [17 207] [18 211] [19 226] [20 211] [21 211] [22 213] [23 201]]","2446","1877","4323","0"
"37","Sit-and-Wait","Small","Small","0.55","0.55","512","512","[10]","[[0 0] [1 0] [2 0] [3 1] [4 1] [5 1] [6 0] [7 1] [8 2] [9 1] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 16] [1 12] [2 7] [3 14] [4 9] [5 8] [6 14] [7 12] [8 9] [9 10] [10 13] [11 9] [12 11] [13 13] [14 11] [15 7] [16 9] [17 9] [18 10] [19 9] [20 11] [21 13] [22 9] [23 12]]","127","130","257","0"
"34","Sit-and-Wait","Small","Small","0.55","0.55","15080","15080","[132]","[[0 10] [1 7] [2 5] [3 5] [4 6] [5 5] [6 5] [7 4] [8 4] [9 5] [10 5] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 26] [1 15] [2 131] [3 212] [4 153] [5 359] [6 264] [7 96] [8 203] [9 64] [10 431] [11 405] [12 441] [13 414] [14 419] [15 437] [16 433] [17 419] [18 443] [19 431] [20 460] [21 427] [22 428] [23 425]]","2477","5059","7536","0"
"39","Sit-and-Wait","Small","Small","0.55","0.55","145","145","[8]","[[0 0] [1 0] [2 0] [3 0] [4 1] [5 0] [6 1] [7 1] [8 0] [9 1] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 3] [1 2] [2 2] [3 1] [4 1] [5 4] [6 5] [7 4] [8 3] [9 2] [10 4] [11 4] [12 3] [13 4] [14 4] [15 4] [16 3] [17 3] [18 3] [19 1] [20 3] [21 6] [22 1] [23 3]]","37","36","73","0"
"38","Sit-and-Wait","Small","Small","0.55","0.55","6055","6055","[57]","[[0 3] [1 3] [2 1] [3 2] [4 4] [5 3] [6 1] [7 2] [8 0] [9 0] [10 0] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 115] [1 142] [2 122] [3 134] [4 113] [5 122] [6 139] [7 39] [8 122] [9 146] [10 138] [11 66] [12 135] [13 129] [14 127] [15 118] [16 147] [17 156] [18 126] [19 141] [20 142] [21 138] [22 144] [23 127]]","1784","1244","3028","0"
"41","Sit-and-Wait","Small","Small","0.55","0.55","1033","1033","[11]","[[0 0] [1 0] [2 2] [3 0] [4 0] [5 0] [6 1] [7 0] [8 0] [9 1] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 27] [1 18] [2 21] [3 22] [4 18] [5 20] [6 18] [7 17] [8 23] [9 18] [10 18] [11 23] [12 25] [13 26] [14 24] [15 27] [16 25] [17 25] [18 16] [19 16] [20 18] [21 21] [22 25] [23 25]]","278","238","516","0"
"31","Sit-and-Wait","Small","Small","0.55","0.55","39553","39553","[452]","[[0 25] [1 24] [2 22] [3 24] [4 16] [5 20] [6 15] [7 21] [8 17] [9 24] [10 17] [11 24] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 136] [1 68] [2 47] [3 48] [4 544] [5 438] [6 393] [7 137] [8 347] [9 152] [10 44] [11 102] [12 1437] [13 1437] [14 1479] [15 1437] [16 1426] [17 1429] [18 1445] [19 1471] [20 1448] [21 1435] [22 1420] [23 1456]]","9925","9851","19776","0"
"36","Sit-and-Wait","Small","Small","0.55","0.55","24921","24921","[205]","[[0 10] [1 7] [2 11] [3 9] [4 9] [5 6] [6 8] [7 12] [8 7] [9 8] [10 8] [11 7] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 103] [1 3] [2 3] [3 73] [4 64] [5 359] [6 184] [7 810] [8 572] [9 316] [10 197] [11 143] [12 792] [13 797] [14 795] [15 807] [16 796] [17 803] [18 821] [19 812] [20 818] [21 793] [22 789] [23 807]]","8437","4020","12457","0"
"43","Sit-and-Wait","Small","Small","0.55","0.55","8593","8593","[55]","[[0 2] [1 3] [2 1] [3 2] [4 4] [5 1] [6 4] [7 2] [8 3] [9 2] [10 5] [11 7] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 246] [1 85] [2 241] [3 96] [4 37] [5 240] [6 10] [7 37] [8 32] [9 241] [10 85] [11 83] [12 245] [13 240] [14 238] [15 243] [16 240] [17 245] [18 229] [19 243] [20 231] [21 235] [22 247] [23 228]]","3493","804","4297","0"
"40","Sit-and-Wait","Small","Small","0.55","0.55","22258","22258","[267]","[[0 14] [1 12] [2 11] [3 17] [4 12] [5 10] [6 15] [7 11] [8 9] [9 14] [10 9] [11 6] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 125] [1 130] [2 119] [3 188] [4 75] [5 247] [6 154] [7 214] [8 178] [9 121] [10 147] [11 472] [12 752] [13 736] [14 744] [15 739] [16 755] [17 733] [18 751] [19 754] [20 765] [21 747] [22 744] [23 734]]","4703","6421","11124","0"
"42","Sit-and-Wait","Small","Small","0.55","0.55","21153","21153","[177]","[[0 8] [1 5] [2 8] [3 9] [4 8] [5 11] [6 9] [7 5] [8 9] [9 9] [10 4] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 464] [1 219] [2 36] [3 247] [4 23] [5 22] [6 486] [7 622] [8 12] [9 67] [10 595] [11 622] [12 582] [13 603] [14 639] [15 605] [16 576] [17 609] [18 584] [19 593] [20 597] [21 585] [22 594] [23 591]]","5167","5406","10573","0"
